TS,SKT,CPU,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization % in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,branch misprediction ratio,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_reads (MB/sec),IO_bandwidth_disk_or_network_writes (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_....MS_Switches(%),TMA_....LCP(%),TMA_....DSB_Switches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_....MS(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_....Other_Mispredicts(%),TMA_..Machine_Clears(%),TMA_....Other_Nukes(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Store_Fwd_Blk(%),TMA_......L1_Latency_Dependency(%),TMA_......Lock_Latency(%),TMA_......Split_Loads(%),TMA_......FB_Full(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Contested_Accesses(%),TMA_......Data_Sharing(%),TMA_......L3_Hit_Latency(%),TMA_......SQ_Full(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......Store_Latency(%),TMA_......False_Sharing(%),TMA_......Split_Stores(%),TMA_......Streaming_Stores(%),TMA_......DTLB_Store(%),TMA_..Core_Bound(%),TMA_....Divider(%),TMA_....Serializing_Operation(%),TMA_....AMX_Busy(%),TMA_....Ports_Utilization(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_....FP_Arith(%),TMA_....Int_Operations(%),TMA_....Memory_Operations(%),TMA_....Fused_Instructions(%),TMA_....Non_Fused_Branches(%),TMA_....Other_Light_Ops(%),TMA_..Heavy_Operations(%),TMA_....Few_Uops_Instructions(%),TMA_....Microcode_Sequencer(%)
1761735027,,,,2.4049162,82.394286,4.7794501,0.63578183,1.2700605,1.5728666,174.53276,0.020830811,0.00013781456,0.02553654,0.23007895,0.012744436,0.0091079751,0.0040553522,0.00048038202,0.00026644593,1.2157048e-05,0.0034274161,40.064227,30.994808,+Inf,189.38861,15.468211,0.015740667,0,54.834184,44.242895,40966.643,11773.474,52740.117,1.8063883e-05,5.8054463e-05,5.1477645e-05,100,0,5.3201172,0.041801144,6.4878102,22.294792,12.706401,2.1829836,0.68137897,3.4431539,0,0.21840759,3.829557,9.5883906,11.491515,5.0703754,0.53595719,9.5763558,7.8492811,6.8834585,1.223942,1.0540143,14.959498,8.1115625,10.608449,15.343221,1.3047807,14.0854,0.023231955,6.0625248,2.7253266,2.4058558,2.7677435,0.48664315,0.12124508,2.3726449,0.7908679,6.439828,100,-18.905338,1.7662759,11.641614,0.40917208,0.24932916,0,10.692956,6.8479359,0.74896376,0.78058085,0,39.337371,53.171715,48.361891,0.041264551,8.2530877,16.162081,2.7598348,1.2873807,20.3443,4.8098244,4.7508963,0
1761735034,,,,2.4263697,100.49323,2.3950677,0.63788172,1.4351199,1.5676888,214.06302,0.019942797,5.309492e-05,0.02719765,0.22525081,0.013044246,0.01017686,0.0041702199,0.00052081649,0.000264385,7.4671774e-06,0.0026124979,43.004704,32.948497,+Inf,176.5745,14.213865,0.37031064,0,54.96077,44.181776,37070.006,10697.287,47767.292,1.9897814e-05,6.3006476e-05,6.5702955e-05,100,0,4.9572175,0.05446711,1.8323746,22.769351,12.617068,2.1803998,0.73576761,3.3617532,0,0.2493736,3.9336236,10.152283,11.694306,4.8109382,0.6538346,8.8572493,7.6953516,6.4165697,1.2985843,1.1201619,15.021918,7.9406092,10.52587,15.917836,1.2891328,14.060635,0.014227259,6.9535554,2.3170264,2.5849454,1.9445367,0.3436172,0.11996218,2.3152229,0.76559859,6.0540665,100,-23.802747,1.9026744,12.292245,0.25239958,0.2312387,0,11.645626,7.0813085,0.8368857,0.55623627,0,39.485569,53.389451,48.648907,0.047248713,8.2502986,15.940644,2.79079,1.2663181,18.35457,4.7405442,4.8507258,0
1761735040,,,,2.409083,98.011336,5.804659,0.63495714,1.2081061,1.5749095,208.24361,0.017562549,0.00015000017,0.028028241,0.22174628,0.012291412,0.010481225,0.0042317734,0.00051226608,0.00026964448,1.0412028e-05,0.0030598983,37.532292,28.721947,+Inf,201.26993,16.302007,0.14234626,0,56.575647,42.483026,43019.581,12052.922,55072.503,1.7279711e-05,6.2453929e-05,4.9487446e-05,100,0,5.6523172,0.048772827,2.7204488,22.537485,12.760485,2.1313135,0.66784137,3.1358991,0,0.22455298,3.7938286,9.7769998,11.957833,4.8832182,0.55550046,8.4994953,7.0711198,6.7434351,1.2358066,1.1270658,16.131569,7.7742507,10.684344,15.603709,1.2404035,14.267794,0.027830774,6.0868002,2.3063637,2.5527256,2.0840237,0.67333798,0.23380844,2.542596,0.72378389,5.6955965,100,-24.620824,2.012792,11.789847,0.24520912,0.25720305,0,11.21414,8.3573183,0.60932083,0.73915682,0,39.498283,53.37903,48.462954,0.056443392,8.1788712,16.103573,2.8440724,1.3905155,21.611335,4.9160761,4.4518579,0
1761735046,,,,2.3984575,110.63403,4.447035,0.62713544,1.2157296,1.5945519,236.94494,0.021334056,9.6885826e-05,0.026574548,0.22918258,0.013478796,0.010006411,0.0038371112,0.00044898339,0.00024211753,6.7790579e-06,0.0020008135,45.122627,34.154285,+Inf,166.93081,12.823288,0.19870286,0,54.431286,44.498805,32031.399,8761.4781,40792.877,1.7720491e-05,6.0083806e-05,4.816625e-05,100,0,4.6866797,0.041559164,3.4988594,23.03925,12.967681,2.1120564,0.67937751,3.4930514,0,0.25932187,4.0893633,10.071569,12.022429,4.6791067,0.50762574,9.2624423,8.0395147,6.7652396,1.2349113,1.0509349,13.765189,6.6201082,10.803772,15.64574,1.4583687,14.289762,0.012756071,5.6439909,2.1388595,2.4809537,2.4499142,0.29565769,0.085134433,2.407006,0.70963765,5.6206854,100,-22.93707,1.8588514,11.018943,0.20087799,0.26207252,0,10.978309,7.1450804,0.66171314,0.65765767,0,39.287907,54.076764,49.23423,0.036643436,8.0275216,16.522451,2.8479524,1.3178271,18.771634,4.8425341,4.7099568,0
1761735054,,,,2.3790389,97.798677,4.1255048,0.62504454,1.2457783,1.599886,208.45465,0.021900534,0.00010084054,0.025270831,0.23101404,0.013549415,0.0094690365,0.003610715,0.00042283575,0.00022328772,8.7225164e-06,0.0024071022,40.666868,31.109834,+Inf,184.34901,14.036727,0.048446108,0,52.417107,46.771599,34530.74,9535.7876,44066.527,1.595957e-05,7.8917689e-05,5.3756846e-05,100,0,5.1812984,0.058179083,3.7050513,23.097259,13.106363,2.19432,0.7026361,3.5728526,0,0.27171744,4.0595075,9.9908957,12.680768,4.8673769,0.48902638,9.516719,8.0789118,6.6814821,1.3073202,1.1956191,13.240128,6.843137,10.777108,14.90478,1.2696272,14.319957,0.014330282,4.7738645,1.8788646,2.4769713,1.8830027,0.63338174,0.12221037,2.159206,0.61368023,5.1112957,100,-22.995065,1.6845084,10.894438,0.29205062,0.24503267,0,11.216685,6.3969912,0.56946439,0.79192826,0,40.431629,53.845782,49.22862,0.035698057,8.9549324,16.524875,2.8791607,1.3513648,17.42281,4.6171619,4.7362817,0
1761735061,,,,2.4082596,88.262115,2.0140063,0.62406261,1.5807812,1.6024033,190.73812,0.0228977,5.1407162e-05,0.025339499,0.23002828,0.014965096,0.0095374716,0.0033122389,0.00039491636,0.00022161637,7.6190107e-06,0.0023800512,40.242547,31.298409,+Inf,184.46792,13.583985,0.32278014,0,51.609199,47.683166,32022.544,8782.3957,40804.94,1.6263832e-05,5.5857928e-05,3.9507255e-05,100,0,5.1973192,0.043234825,2.4445362,23.208095,12.770775,2.1806675,0.71123327,4.0382433,0,0.28866885,4.2085842,10.437319,12.442742,4.9867051,0.43894859,9.7744837,8.6007584,6.6983835,1.2473516,0.93640824,13.426236,6.7178866,10.721595,15.452055,1.3614528,15.01612,0.014286982,4.5246279,1.7713713,2.4232036,1.9618693,0.42413913,0.20444791,2.2682238,0.57618143,4.8556309,100,-27.945968,1.6232058,10.988702,0.28328543,0.24600266,0,11.355359,6.7083495,0.64626077,0.44560098,0,40.080416,53.286356,48.930673,0.044064303,7.1783855,17.074508,2.9053421,1.3729505,21.009475,4.3556836,4.8966083,0
1761735067,,,,2.3551797,120.86354,5.764239,0.62909589,1.1778509,1.5895828,253.39063,0.022952972,0.00011972914,0.024980504,0.23301199,0.013614259,0.0093896434,0.0036460263,0.00043300921,0.00022922137,7.3317149e-06,0.0019557637,40.598057,30.541272,+Inf,184.41818,14.14128,0.035216173,0,52.424571,46.728854,35319.661,9949.497,45269.158,1.5921721e-05,5.7020968e-05,5.0001825e-05,100,0,5.1541382,0.052109916,4.1280621,23.362158,13.041264,2.1444199,0.6776903,3.7031525,0,0.28077177,4.1985936,10.320893,12.648467,4.7891139,0.51762813,9.5240529,8.1935369,6.9382353,1.1918011,1.229577,13.001313,6.5499943,10.77314,15.788496,1.1929234,14.52517,0.026805815,5.0880189,1.9805986,2.4841302,2.4775633,0.88969548,0.19879705,2.2066236,0.58996639,4.7027247,100,-28.649838,1.55669,11.161422,0.36315014,0.24855684,0,11.698188,6.4513186,0.52320411,0.37998348,0,39.856005,53.557492,48.937666,0.034248499,7.4713635,16.537707,2.9346164,1.4015039,19.054422,4.6198267,4.9121527,0
1761735075,,,,2.4001764,96.377786,4.681089,0.63455692,1.159783,1.5759028,204.14444,0.022210557,0.00012584532,0.025469119,0.22942735,0.014290278,0.0096803593,0.0036460103,0.00043865525,0.00023503436,8.5981788e-06,0.0023694337,40.602778,30.806628,+Inf,184.48459,13.889355,0.12676526,0,53.436791,45.766416,33649.491,9332.1119,42981.603,1.7694583e-05,6.4895021e-05,6.9573166e-05,100,0,5.1670735,0.047235766,6.8597408,23.246566,13.177222,2.1155003,0.64773948,3.7342132,0,0.23248543,3.9575238,10.069344,11.725809,5.0368325,0.61480914,9.3535769,8.2315783,6.7420392,1.3037969,1.2820723,13.329755,6.7043085,10.842602,15.004563,1.2997173,14.66022,0.021815883,5.1249593,2.0450903,2.5074919,1.9576918,0.3704956,0.18007814,2.1912479,0.64657033,5.1527503,100,-23.889224,1.7123844,11.535553,0.26940839,0.23435333,0.0012565947,11.432881,6.6254465,0.70487756,0.64116991,0,39.98449,53.293036,48.716496,0.045593109,7.7746336,16.749348,2.9074066,1.3865302,19.806529,4.57654,4.7723013,0
1761735084,,,,2.3747664,95.313303,6.7842903,0.63542833,1.0964048,1.5737416,199.47839,0.019839421,0.00019344579,0.026999901,0.22734125,0.012810546,0.0098843301,0.0039612366,0.00045460416,0.00024319111,1.139548e-05,0.0027983988,41.157857,31.718512,+Inf,184.58196,14.80457,0.010286921,0,55.752455,43.29493,38837.117,10981.434,49818.55,1.5978272e-05,6.850128e-05,7.3624788e-05,100,0,5.1502409,0.040422752,7.21103,23.130055,13.15408,2.1398018,0.64906392,3.3685005,0,0.22480438,3.9618237,9.975975,11.879168,4.9053355,0.60888056,9.2179277,7.5217541,6.5271416,1.3034095,1.1338732,14.450932,7.2803086,10.867753,15.177583,1.3285722,14.627098,0.028625398,5.6583364,2.2625522,2.556627,2.7933286,0.85272867,0.25996086,2.3423774,0.711017,4.8030292,100,-22.545886,1.6550386,11.510406,0.53033608,0.27110675,0.0010861631,10.821812,7.1706233,0.58039457,0.82257007,0,39.153118,53.516338,48.750091,0.041619193,8.0336293,16.6241,2.842276,1.3605881,20.471674,4.7662464,4.8367046,0
1761735093,,,,2.3310684,83.134976,3.9000703,0.64527775,1.3596649,1.5497203,168.18224,0.021074105,0.00010359301,0.026648347,0.22719977,0.013023027,0.0095459326,0.0042082379,0.00051552239,0.00027666265,1.1557079e-05,0.0034542459,41.010745,30.872264,+Inf,184.26982,14.882432,0.13440656,0,56.311006,42.73096,39094.994,11224.688,50319.682,1.733194e-05,6.0471896e-05,6.4565939e-05,100,0,5.1685445,0.052405731,3.6962609,23.419428,13.01026,2.1135249,0.71478754,3.3624216,0,0.23616006,3.9129623,10.409168,11.626613,4.9167703,0.56037721,9.0531139,7.7805071,6.5338082,1.2455363,1.1835172,14.785281,7.6326421,10.557032,15.833298,1.2337921,14.122352,0.027647357,6.4806456,2.1603978,2.5968745,1.6242005,0.30505952,0.17163316,2.5694545,0.75750672,5.5492261,100,-24.150682,1.9003498,11.94745,0.31041395,0.24616125,0.00066653152,11.639507,7.1526384,0.78144681,0.55074768,0,39.85525,52.301134,47.473943,0.036093658,8.2013312,16.144023,2.7898216,1.308401,20.063963,4.8271913,4.8711814,0
