Block_Index,Block_Len,Next_Jump_Size
477,10,165
478,2,1076200
479,11,12
480,2,9
481,5,27067
482,19,11790351
483,6,11790364
484,5,11790333
485,6,11790346
486,5,9
487,13,9177
488,12,52
489,3,246
490,4,1672448
491,8,790413
492,3,2868
493,8,9
494,34,9
495,7,2695
496,2,790408
497,9,1672414
498,11,94
499,2,415
500,18,96
501,7,12000
502,9,9
503,4,36
504,5,157
505,4,1684441
506,8,790413
507,3,2868
508,8,9
509,34,9
510,7,2695
511,2,790408
512,9,1684407
513,11,75
514,2,295
515,14,104
516,2,9
517,7,21331
518,19,27267
519,5,1076280
520,3,153
521,5,94
522,6,2996
523,2,1142487
524,3,13969086
525,1,13662542
526,6,11
527,8,262099
528,18,262155
529,4,13662476
530,3,4023
531,4,13
532,1,56
533,3,12975940
534,3,9
535,10,1197362
536,3,9
537,9,10
538,3,14
539,2,1197311
540,3,9
541,10,12975840
542,1,9705
543,5,9699
544,2,46
545,2,4048
546,4,182072
547,1,1717
548,3,1278
549,1,27
550,17,9
551,8,69
552,4,9
553,1,41
554,3,695
555,4,1434
556,35,19
557,1,24
558,5,193633
559,9,193605
560,1,1579
561,4,182150
562,6,3973
563,4,25
564,1,52
565,1,57
566,3,4012
567,3,9
568,1,13
569,1,13662689
570,2,11
571,1,9
572,2,21
573,1,13662644
574,2,13969129
575,8,57062
576,5,57071
577,4,1142472
578,5,3246
579,13,5010329
580,11,5010353
581,3,257
582,4,268
583,5,10
584,10,165
585,2,1076200
586,11,12
587,2,9
588,5,27067
589,19,11790351
590,6,11790364
591,5,11790333
592,6,11790346
593,5,9
594,13,9177
595,12,52
596,3,246
597,4,1672448
598,8,790413
599,3,2868
600,8,9
601,34,9
602,7,2695
603,2,790408
604,9,1672414
605,11,94
606,2,415
607,18,96
608,7,12000
609,9,9
610,4,36
611,5,157
612,4,1684441
613,8,790413
614,3,2868
615,8,9
616,34,9
617,7,2695
618,2,790408
619,9,1684407
620,11,75
621,2,295
622,14,104
623,2,9
624,7,21331
625,19,27267
626,5,1076280
627,3,153
628,5,94
629,6,2996
630,2,1142487
631,3,13969086
632,1,13662542
633,6,11
634,8,262099
635,18,262155
636,4,13662476
637,3,4023
638,4,13
639,1,56
640,3,12975940
641,3,9
642,10,1197362
643,3,9
644,9,10
645,3,14
646,2,1197311
647,3,9
648,10,12975840
649,1,9705
650,5,9699
651,2,46
652,2,4048
653,4,182072
654,1,1717
655,3,1278
656,1,27
657,17,9
658,8,69
659,4,9
