Block_Index,Block_Len,Next_Jump_Size
476,9,1672414
477,11,94
478,2,415
479,18,96
480,7,12000
481,9,9
482,4,36
483,5,157
484,4,1684441
485,8,790413
486,3,2868
487,8,9
488,34,9
489,7,2695
490,2,790408
491,9,1684407
492,11,75
493,2,295
494,14,104
495,2,9
496,7,21331
497,19,27267
498,5,1076280
499,3,153
500,5,94
501,6,2996
502,2,1142487
503,3,13969086
504,1,13662542
505,6,11
506,8,262099
507,18,262155
508,4,13662476
509,3,4023
510,4,13
511,1,56
512,3,12975940
513,3,9
514,10,1197362
515,3,9
516,9,10
517,3,14
518,2,1197311
519,3,9
520,10,12975840
521,1,9705
522,5,9699
523,2,46
524,2,4048
525,4,182072
526,1,1717
527,3,1278
528,1,27
529,17,9
530,8,69
531,4,9
532,1,41
533,3,695
534,4,1434
535,35,19
536,1,24
537,5,193633
538,9,193605
539,1,1579
540,4,182150
541,6,3973
542,4,25
543,1,52
544,1,57
545,3,4012
546,3,9
547,1,13
548,1,13662689
549,2,11
550,1,9
551,2,21
552,1,13662644
553,2,13969129
554,8,57062
555,5,57071
556,4,1142472
557,5,3246
558,13,5010329
559,11,5010353
560,3,257
561,4,268
562,5,10
563,10,165
564,2,1076200
565,11,12
566,2,9
567,5,27067
568,19,11790351
569,6,11790364
570,5,11790333
571,6,11790346
572,5,9
573,13,9177
574,12,52
575,3,246
576,4,1672448
577,8,790413
578,3,2868
579,8,9
580,34,9
581,7,2695
582,2,790408
583,9,1672414
584,11,94
585,2,415
586,18,96
587,7,12000
588,9,9
589,4,36
590,5,157
591,4,1684441
592,8,790413
593,3,2868
594,8,9
595,34,9
596,7,2695
597,2,790408
598,9,1684407
599,11,75
600,2,295
601,14,104
602,2,9
603,7,21331
604,19,27267
605,5,1076280
606,3,153
607,5,94
608,6,2996
609,2,1142487
610,3,13969086
611,1,13662542
612,6,11
613,8,262099
614,18,262155
615,4,13662476
616,3,4023
617,4,13
618,1,56
619,3,12975940
620,3,9
621,10,1197362
622,3,9
623,9,10
624,3,14
625,2,1197311
626,3,9
627,10,12975840
628,1,9705
629,5,9699
630,2,46
631,2,4048
632,4,182072
633,1,1717
634,3,1278
635,1,27
636,17,9
637,8,69
638,4,9
639,1,41
640,3,695
641,4,1434
642,35,19
643,1,24
644,5,193633
645,9,193605
646,1,1579
647,4,182150
648,6,3973
649,4,25
650,1,52
651,1,57
652,3,4012
653,3,9
654,1,13
655,1,13662689
656,2,11
657,1,9
658,2,21
659,1,13662644
660,2,13969129
661,8,57062
662,5,57071
663,4,1142472
664,5,3246
665,13,5010329
666,11,5010353
667,3,257
668,4,268
669,5,10
670,10,165
671,2,1076200
672,11,12
673,2,9
674,5,27067
675,19,11790351
676,6,11790364
677,5,11790333
678,6,11790346
679,5,9
680,13,9177
681,12,52
682,3,246
683,4,1672448
684,8,790413
685,3,2868
686,8,9
687,34,9
688,7,2695
689,2,790408
690,9,1672414
691,11,94
692,2,415
693,18,96
694,7,12000
695,9,9
696,4,36
697,5,157
698,4,1684441
699,8,790413
700,3,2868
701,8,9
702,34,9
703,7,2695
704,2,790408
705,9,1684407
706,11,75
707,2,295
708,14,104
709,2,9
710,7,21331
711,19,27267
712,5,1076280
713,3,153
714,5,94
715,6,2996
716,2,1142487
717,3,13969086
718,1,13662542
719,6,11
720,8,262099
721,18,262155
722,4,13662476
723,3,4023
724,4,13
725,1,56
726,3,12975940
727,3,9
728,10,1197362
729,3,9
730,9,10
731,3,14
732,2,1197311
733,3,9
734,10,12975840
735,1,9705
736,5,9699
737,2,46
738,2,4048
739,4,182072
740,1,1717
741,3,1278
742,1,27
743,17,9
744,8,69
745,4,9
746,1,41
747,3,695
748,4,1434
749,35,19
750,1,24
751,5,193633
752,9,193605
753,1,1579
754,4,182150
755,6,3973
756,4,25
757,1,52
758,1,57
759,3,4012
760,3,9
761,1,13
762,1,13662689
763,2,11
764,1,9
765,2,21
766,1,13662644
767,2,13969129
768,8,57062
769,5,57071
770,4,1142472
771,5,3246
772,13,5010329
773,11,5010353
774,3,257
775,4,268
776,5,10
777,10,165
778,2,1076200
779,11,12
780,2,9
781,5,27067
782,19,11790351
783,6,11790364
784,5,11790333
785,6,11790346
786,5,9
787,13,9177
788,12,52
789,3,246
790,4,1672448
791,8,790413
792,3,2868
793,8,9
794,34,9
795,7,2695
796,2,790408
797,9,1672414
798,11,94
799,2,415
800,18,96
801,7,12000
802,9,9
803,4,36
804,5,157
805,4,1684441
806,8,790413
807,3,2868
808,8,9
809,34,9
810,7,2695
